PLAYER_NAME;MIN;FGM;FGA;FG3M;FG3A;FTM;FTA;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;DD2;TD3;PACE;PIE;POSS
Jrue Holiday;656.06;95;219;40;122;35;39;24;65;89;84;31;16;8;10;31;35;265;0;0;2127.94;1.903;1379
Julian Champagnie;710.66;103;238;60;169;36;39;21;102;123;36;26;20;15;11;36;17;302;0;0;2423.03;1.983;1495
Julian Phillips;344.1;38;92;18;57;13;21;19;31;50;11;10;16;6;7;32;14;107;0;0;2548.44;0.929;758
Julian Strawther;457.73;69;149;31;76;29;36;7;37;44;31;21;18;9;7;59;36;198;0;0;2335.38;1.258;1011
Julius Randle;763.14;161;329;40;109;108;131;40;120;160;93;62;18;3;27;57;93;470;4;0;2244.83;3.169;1553
Justin Champagnie;104.71;19;34;5;12;3;5;10;13;23;5;5;7;2;3;12;4;46;0;0;574.06;0.196;232
Justin Edwards;8.98;2;3;0;1;0;1;0;2;2;1;0;0;0;0;0;2;4;0;0;253.35;0.25;23
Justin Minaya;6.05;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;103.14;0.0;13
Jusuf Nurkić;385.36;47;112;14;47;35;52;29;130;159;21;37;15;10;8;47;42;143;6;0;1632.8;1.2890000000000001;817
KJ Martin;359.09;49;76;5;14;23;27;17;34;51;17;7;7;14;5;46;18;126;0;0;1953.49;1.601;739
KJ Simpson;115.58;12;39;3;19;8;10;9;6;15;17;9;5;1;3;12;14;35;0;0;781.61;0.339;232
Kai Jones;139.02;15;20;0;0;7;10;11;20;31;6;7;4;9;1;17;9;37;0;0;1558.12;0.23999999999999994;290
Karl-Anthony Towns;781.15;203;384;53;120;113;135;67;245;312;74;55;21;24;31;79;117;572;21;0;2268.54;4.069;1603
Karlo Matković;38.58;2;5;0;0;0;0;6;4;10;0;4;3;3;1;4;1;4;0;0;592.48;0.23099999999999998;81
Keaton Wallace;194.21;22;55;8;26;4;4;2;16;18;22;12;10;6;1;13;4;56;0;0;1224.6;0.707;419
Keegan Murray;910.35;119;280;40;137;26;31;58;133;191;39;27;18;22;6;76;32;304;8;0;2508.84;1.643;1895
Kel'el Ware;69.04;10;25;2;7;2;2;2;14;16;1;4;3;5;1;6;2;24;0;0;1024.81;-0.4650000000000001;144
Keldon Johnson;583.45;107;239;26;91;51;67;26;97;123;37;18;18;5;15;41;46;291;1;0;2342.09;2.263;1232
Kelly Olynyk;29.06;6;11;3;4;4;4;4;4;8;2;3;3;1;1;2;3;19;0;0;203.2;0.35400000000000004;61
Kelly Oubre Jr.;691.17;108;243;31;97;36;48;33;84;117;30;29;28;11;23;68;45;283;2;0;2176.01;1.65;1421
Kenrich Williams;185.46;31;56;13;31;6;6;12;30;42;13;2;9;4;4;22;9;81;0;0;1375.18;2.0020000000000002;374
Kentavious Caldwell-Pope;786.45;74;185;37;124;29;33;9;45;54;45;19;43;14;6;55;32;214;0;0;2531.32;1.437;1591
Keon Ellis;471.54;49;103;32;74;20;25;17;29;46;27;19;28;19;4;46;20;150;0;0;2268.87;1.192;955
Keon Johnson;373.21;46;132;25;83;8;11;13;50;63;24;21;12;7;13;46;14;125;0;0;2203.92;0.9830000000000001;770
Keshad Johnson;12.45;1;2;0;1;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;193.37;0.174;25
Kessler Edwards;9.57;0;2;0;2;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;524.93;-0.45199999999999996;22
Kevin Durant;463.94;120;224;35;78;60;75;3;84;87;40;43;7;19;7;22;72;335;1;0;1303.21;1.9;965
Kevin Huerter;561.5;85;192;41;127;10;15;8;69;77;46;21;22;12;4;52;11;221;0;0;2237.86;1.513;1185
Kevin Love;144.0;27;75;17;45;9;13;13;45;58;16;8;13;2;4;10;11;80;0;0;1234.51;1.494;309
Kevin Porter Jr.;429.11;85;204;11;54;23;37;14;62;76;64;50;20;7;11;31;41;204;0;0;2198.73;1.433;893
Kevon Looney;360.38;51;96;0;0;17;37;78;95;173;37;15;18;6;7;55;26;119;1;0;2253.88;3.021;770
Keyonte George;694.15;119;302;57;170;55;67;12;59;71;124;72;17;2;20;40;58;350;1;0;2185.33;1.699;1441
Khris Middleton;62.97;5;20;2;7;10;10;0;9;9;19;3;5;1;2;7;8;22;0;0;304.35;0.319;132
Klay Thompson;579.11;100;253;61;163;18;20;16;58;74;36;22;13;7;8;27;15;279;0;0;2100.54;1.6500000000000001;1210
Kobe Brown;47.08;9;20;1;6;1;2;5;11;16;4;0;1;0;0;5;2;20;0;0;699.45;0.784;101
Kobe Bufkin;123.64;18;47;4;19;13;18;5;16;21;17;8;3;2;6;9;12;53;0;0;1072.35;0.836;275
Kris Dunn;565.25;68;155;24;75;5;10;19;75;94;65;27;41;7;3;67;18;165;0;0;2482.68;1.921;1167
Kris Murray;266.81;38;80;11;33;8;20;22;26;48;14;12;9;3;5;21;11;95;0;0;2157.48;1.198;572
Kristaps Porziņģis;142.53;34;74;12;35;23;29;10;29;39;9;4;5;7;4;13;29;103;0;0;531.38;0.695;318
Kyle Anderson;326.77;44;107;10;35;13;20;11;56;67;52;12;18;10;4;23;21;111;0;0;2372.48;2.342;703
Kyle Filipowski;276.4;40;79;9;31;16;30;14;53;67;30;15;8;2;8;26;25;105;0;0;1536.58;0.984;579
Kyle Kuzma;329.81;76;181;16;58;22;32;8;59;67;23;29;5;3;9;23;25;190;1;0;1260.15;0.921;725
Kyle Lowry;350.18;25;67;18;51;15;19;6;27;33;47;13;17;5;4;30;22;83;0;0;1574.34;0.977;720
Kyrie Irving;812.72;205;407;73;154;69;78;26;84;110;120;50;29;6;16;54;61;552;0;0;2339.54;3.165;1726
Kyshawn George;497.33;50;149;24;97;19;26;13;65;78;50;19;13;13;8;60;25;143;0;0;1972.67;0.893;1076
LaMelo Ball;613.72;193;449;84;236;89;105;17;80;97;125;81;20;4;21;73;96;559;4;0;1799.9;2.66;1276
Larry Nance Jr.;164.69;34;54;16;29;3;4;10;16;26;14;4;9;3;1;13;6;87;0;0;1055.14;1.062;357
Lauri Markkanen;572.0;105;237;45;121;80;93;28;85;113;42;26;12;2;12;31;74;335;1;0;1805.79;2.078;1196
LeBron James;806.08;201;406;47;131;80;105;21;163;184;210;94;16;13;20;28;92;529;13;7;2331.23;3.538;1709
Lester Quinones;16.97;4;8;0;3;1;1;3;1;4;1;4;0;0;0;0;1;9;0;0;472.89;0.243;41
Liam Robbins;19.78;2;3;0;1;1;4;2;1;3;0;0;0;0;0;3;4;5;0;0;524.29;-0.13;45
Lindy Waters III;355.76;42;108;26;76;4;5;9;41;50;27;8;10;5;6;32;8;114;0;0;2054.61;1.219;752
Lonzo Ball;134.03;14;38;11;31;0;0;1;18;19;27;5;9;4;1;8;1;39;0;0;872.06;0.59;307
Luguentz Dort;704.73;81;198;51;130;24;29;36;75;111;44;14;28;21;10;73;50;237;0;0;2451.19;1.598;1488
Luka Dončić;700.66;185;415;65;189;98;128;12;148;160;150;66;39;7;11;54;110;533;9;2;1935.93;3.138;1489
Luka Garza;32.87;11;20;1;6;3;6;4;5;9;0;2;1;0;2;3;6;26;0;0;778.25;0.806;75
Luke Kennard;276.38;31;72;21;52;11;14;7;27;34;41;10;8;2;0;9;4;94;0;0;1506.33;1.08;615
Luke Kornet;306.99;30;48;0;0;20;23;33;44;77;27;8;10;21;5;25;27;80;0;0;1811.91;1.767;639
Luke Travers;41.56;3;7;0;3;2;2;1;5;6;5;2;1;1;0;3;1;8;0;0;569.25;0.274;80
Mac McClung;4.88;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;98.29;0.102;10
Malaki Branham;232.68;43;96;17;41;17;20;3;26;29;21;23;7;2;8;13;12;120;0;0;1841.63;1.101;497
Malcolm Brogdon;214.28;45;91;7;21;27;32;9;30;39;23;14;4;3;9;19;23;124;2;0;921.9300000000001;0.908;459
